"filename", "language", "JavaScript", "JSON", "XML", "CSS", "HTML", "Log", "comment", "blank", "total"
"d:\Java\Brain\my-app\coverage\lcov-report\constants\index.html", "HTML", 0, 0, 0, 0, 167, 0, 0, 19, 186
"d:\Java\Brain\my-app\coverage\lcov-report\constants\otherConst.js.html", "HTML", 0, 0, 0, 0, 99, 0, 0, 14, 113
"d:\Java\Brain\my-app\coverage\lcov-report\constants\urlConst.js.html", "HTML", 0, 0, 0, 0, 198, 0, 0, 14, 212
"d:\Java\Brain\my-app\coverage\lcov-report\icons\filter.png.html", "HTML", 0, 0, 0, 0, 89, 0, 0, 15, 104
"d:\Java\Brain\my-app\coverage\lcov-report\icons\index.html", "HTML", 0, 0, 0, 0, 111, 0, 0, 15, 126
"d:\Java\Brain\my-app\coverage\lcov-report\icons\menu.png.html", "HTML", 0, 0, 0, 0, 81, 0, 0, 14, 95
"d:\Java\Brain\my-app\coverage\lcov-report\index.html", "HTML", 0, 0, 0, 0, 181, 0, 0, 20, 201
"d:\Java\Brain\my-app\coverage\lcov-report\prettify.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\Java\Brain\my-app\coverage\lcov-report\prettify.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"d:\Java\Brain\my-app\coverage\lcov-report\sorter.js", "JavaScript", 142, 0, 0, 0, 0, 0, 16, 13, 171
"d:\Java\Brain\my-app\package-lock.json", "JSON", 0, 10599, 0, 0, 0, 0, 0, 1, 10600
"d:\Java\Brain\my-app\package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 38
"d:\Java\Brain\my-app\src\actions\categoryList.js", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 2, 17
"d:\Java\Brain\my-app\src\actions\isAppInit.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Java\Brain\my-app\src\actions\productsList.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 2, 10
"d:\Java\Brain\my-app\src\actions\sessionSid.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Java\Brain\my-app\src\actions\statusResponse.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Java\Brain\my-app\src\api\argMiddle.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 0, 7
"d:\Java\Brain\my-app\src\api\category\catView.js", "JavaScript", 35, 0, 0, 0, 0, 0, 20, 11, 66
"d:\Java\Brain\my-app\src\api\category\catView.spec.js", "JavaScript", 56, 0, 0, 0, 0, 0, 7, 25, 88
"d:\Java\Brain\my-app\src\api\category\category.js", "JavaScript", 40, 0, 0, 0, 0, 0, 12, 16, 68
"d:\Java\Brain\my-app\src\api\category\category.spec.js", "JavaScript", 54, 0, 0, 0, 0, 0, 11, 18, 83
"d:\Java\Brain\my-app\src\api\category\symbChildren.js", "JavaScript", 17, 0, 0, 0, 0, 0, 16, 8, 41
"d:\Java\Brain\my-app\src\api\category\symbChildren.spec.js", "JavaScript", 23, 0, 0, 0, 0, 0, 2, 6, 31
"d:\Java\Brain\my-app\src\api\fetch\fetchData.js", "JavaScript", 22, 0, 0, 0, 0, 0, 15, 9, 46
"d:\Java\Brain\my-app\src\api\fetch\fetchData.spec.js", "JavaScript", 48, 0, 0, 0, 0, 0, 1, 19, 68
